GSE	GSM	Our Cell Name	More Detailed Cell Name
E-GEOD-15907	GSM854282	macrophage	macrophage
E-GEOD-15907	GSM854283	macrophage	macrophage
E-GEOD-15907	GSM854284	macrophage	macrophage
E-GEOD-15907	GSM791136	thymocyte DN	thymocyte - DN2
E-GEOD-15907	GSM791137	thymocyte DN	thymocyte - DN2
E-GEOD-15907	GSM791138	thymocyte DN	thymocyte - DN2
E-GEOD-15907	GSM791139	thymocyte DN	thymocyte - DN2
E-GEOD-15907	GSM791140	thymocyte DN	thymocyte - DN2
E-GEOD-15907	GSM791141	thymocyte DN	thymocyte - DN2
E-GEOD-15907	GSM791142	thymocyte DN	thymocyte - DN2
E-GEOD-15907	GSM791146	thymocyte DN	thymocyte - DN3a
E-GEOD-15907	GSM791147	thymocyte DN	thymocyte - DN3a
E-GEOD-15907	GSM791148	thymocyte DN	thymocyte - DN3a
E-GEOD-15907	GSM791149	thymocyte DN	thymocyte - DN3b
E-GEOD-15907	GSM791150	thymocyte DN	thymocyte - DN3b
E-GEOD-15907	GSM791154	thymocyte DN	thymocyte - DN4
E-GEOD-15907	GSM791155	thymocyte DN	thymocyte - DN4
E-GEOD-15907	GSM791156	thymocyte DN	thymocyte - DN4
E-GEOD-15907	GSM399391	thymocyte - DP	thymocyte - DP
E-GEOD-15907	GSM399392	thymocyte - DP	thymocyte - DP
E-GEOD-15907	GSM399393	thymocyte - DP	thymocyte - DP
E-GEOD-15907	GSM399370	T Cell	T Cell - helper
E-GEOD-15907	GSM399371	T Cell	T Cell - helper
E-GEOD-15907	GSM399372	T Cell	T Cell - helper
E-GEOD-15907	GSM538362	T Cell	"T Cell - helper, memory"
E-GEOD-15907	GSM538363	T Cell	"T Cell - helper, memory"
E-GEOD-15907	GSM538364	T Cell	"T Cell - helper, memory"
E-GEOD-15907	GSM538365	T Cell	"T Cell - helper, memory"
E-GEOD-15907	GSM538366	T Cell	"T Cell - helper, memory"
E-GEOD-15907	GSM538367	T Cell	"T Cell - helper, memory"
E-GEOD-15907	GSM538371	T Cell	"T Cell - helper, memory"
E-GEOD-15907	GSM538372	T Cell	"T Cell - helper, memory"
E-GEOD-15907	GSM538373	T Cell	"T Cell - helper, memory"
E-GEOD-15907	GSM538398	T Cell	"T Cell - helper, memory"
E-GEOD-15907	GSM538399	T Cell	"T Cell - helper, memory"
E-GEOD-15907	GSM538400	T Cell	"T Cell - helper, memory"
E-GEOD-15907	GSM538382	T Cell	"T Cell - helper, na夫e"
E-GEOD-15907	GSM538383	T Cell	"T Cell - helper, na夫e"
E-GEOD-15907	GSM538384	T Cell	"T Cell - helper, na夫e"
E-GEOD-15907	GSM605769	T Cell	"T Cell - helper, na夫e"
E-GEOD-15907	GSM538318	T Cell	T Cell - invariant Natural Killer
E-GEOD-15907	GSM538319	T Cell	T Cell - invariant Natural Killer
E-GEOD-15907	GSM538320	T Cell	T Cell - invariant Natural Killer
E-GEOD-15907	GSM538321	T Cell	T Cell - invariant Natural Killer
E-GEOD-15907	GSM538322	T Cell	T Cell - invariant Natural Killer
E-GEOD-15907	GSM538324	T Cell	T Cell - invariant Natural Killer
E-GEOD-15907	GSM538325	T Cell	T Cell - invariant Natural Killer
E-GEOD-15907	GSM538326	T Cell	T Cell - invariant Natural Killer
E-GEOD-15907	GSM538327	T Cell	T Cell - invariant Natural Killer
E-GEOD-15907	GSM538328	T Cell	T Cell - invariant Natural Killer
E-GEOD-15907	GSM538329	T Cell	T Cell - invariant Natural Killer
E-GEOD-15907	GSM538330	T Cell	T Cell - invariant Natural Killer
E-GEOD-15907	GSM538331	T Cell	T Cell - invariant Natural Killer
E-GEOD-15907	GSM399379	T Cell	T Cell - killer
E-GEOD-15907	GSM399380	T Cell	T Cell - killer
E-GEOD-15907	GSM399381	T Cell	T Cell - killer
E-GEOD-15907	GSM538406	T Cell	"T Cell - killer, na夫e"
E-GEOD-15907	GSM538407	T Cell	"T Cell - killer, na夫e"
E-GEOD-15907	GSM538408	T Cell	"T Cell - killer, na夫e"
E-GEOD-15907	GSM538409	T Cell	"T Cell - killer, na夫e"
E-GEOD-15907	GSM538410	T Cell	"T Cell - killer, na夫e"
E-GEOD-15907	GSM538411	T Cell	"T Cell - killer, na夫e"
E-GEOD-15907	GSM538332	T Cell	T Cell - precursor invariant Natural Killer
E-GEOD-15907	GSM538333	T Cell	T Cell - precursor invariant Natural Killer
E-GEOD-15907	GSM538334	T Cell	T Cell - precursor invariant Natural Killer
E-GEOD-15907	GSM538335	T Cell	T Cell - precursor invariant Natural Killer
E-GEOD-15907	GSM538336	T Cell	T Cell - precursor invariant Natural Killer
E-GEOD-15907	GSM538337	T Cell	T Cell - precursor invariant Natural Killer
E-GEOD-15907	GSM538338	T Cell	T Cell - precursor invariant Natural Killer
E-GEOD-15907	GSM538339	T Cell	T Cell - precursor invariant Natural Killer
E-GEOD-15907	GSM399365	T Cell	T Cell - regulatory
E-GEOD-15907	GSM399366	T Cell	T Cell - regulatory
E-GEOD-15907	GSM538315	natural killer cells	natural killer cells
E-GEOD-15907	GSM538316	natural killer cells	natural killer cells
E-GEOD-15907	GSM538317	natural killer cells	natural killer cells
E-GEOD-15907	GSM854306	neutrophils	neutrophils
E-GEOD-15907	GSM854307	neutrophils	neutrophils
E-GEOD-15907	GSM854308	neutrophils	neutrophils
E-GEOD-15907	GSM854327	microglia	microglia
E-GEOD-15907	GSM854328	microglia	microglia
E-GEOD-35592	GSM871355	erythroblast	erythroblast
E-GEOD-35592	GSM871356	erythroblast	erythroblast
E-GEOD-35592	GSM871357	erythroblast	erythroblast
E-GEOD-35592	GSM871358	erythroblast	erythroblast
E-GEOD-24327	GSM599849	spleen	spleen
E-GEOD-24327	GSM599850	spleen	spleen
E-GEOD-24327	GSM599852	spleen	spleen
E-GEOD-26630	GSM655474	spleen	spleen
E-GEOD-26630	GSM655475	spleen	spleen
E-GEOD-26630	GSM655476	spleen	spleen
E-GEOD-26630	GSM655477	spleen	spleen
E-GEOD-26630	GSM655478	spleen	spleen
E-GEOD-26630	GSM655479	spleen	spleen
E-GEOD-26630	GSM655480	spleen	spleen
E-GEOD-26630	GSM655481	spleen	spleen
E-GEOD-26630	GSM655482	spleen	spleen
E-GEOD-26630	GSM655483	spleen	spleen
E-GEOD-15907	GSM538280	Langerhans cell	Langerhans cell
E-GEOD-15907	GSM538281	Langerhans cell	Langerhans cell
E-GEOD-15907	GSM777067	lymph node stromal cell	lymph node stromal cell CD44- DN 
E-GEOD-15907	GSM777068	lymph node stromal cell	lymph node stromal cell CD44- DN 
E-GEOD-15907	GSM777069	lymph node stromal cell	lymph node stromal cell CD44- DN 
E-GEOD-15907	GSM777041	medullary thymic epithelial	medullary thymic epithelial
E-GEOD-15907	GSM777042	medullary thymic epithelial	medullary thymic epithelial
E-GEOD-15907	GSM854302	medullary thymic epithelial	medullary thymic epithelial
E-GEOD-29285	GSM723872	terminal bronchiolar epithelial cells	terminal bronchiolar epithelial cells
E-GEOD-29285	GSM723873	terminal bronchiolar epithelial cells	terminal bronchiolar epithelial cells
E-GEOD-29285	GSM723874	terminal bronchiolar epithelial cells	terminal bronchiolar epithelial cells
E-GEOD-29285	GSM723875	terminal bronchiolar epithelial cells	terminal bronchiolar epithelial cells
E-GEOD-29285	GSM723876	terminal bronchiolar epithelial cells	terminal bronchiolar epithelial cells
E-GEOD-29285	GSM723877	terminal bronchiolar epithelial cells	terminal bronchiolar epithelial cells
E-GEOD-29285	GSM723878	terminal bronchiolar epithelial cells	terminal bronchiolar epithelial cells
E-GEOD-29285	GSM723879	terminal bronchiolar epithelial cells	terminal bronchiolar epithelial cells
E-GEOD-29285	GSM723880	terminal bronchiolar epithelial cells	terminal bronchiolar epithelial cells
E-GEOD-27715	GSM686196	endothelial cell - gonad	endothelial cell - gonad
E-GEOD-27715	GSM686197	endothelial cell - gonad	endothelial cell - gonad
E-GEOD-27715	GSM686198	endothelial cell - gonad	endothelial cell - gonad
E-GEOD-27715	GSM686226	endothelial cell - gonad	endothelial cell - gonad
E-GEOD-27715	GSM686227	endothelial cell - gonad	endothelial cell - gonad
E-GEOD-27715	GSM686228	endothelial cell - gonad	endothelial cell - gonad
E-GEOD-27715	GSM686229	endothelial cell - gonad	endothelial cell - gonad
E-GEOD-27715	GSM686230	endothelial cell - gonad	endothelial cell - gonad
E-GEOD-27715	GSM686231	endothelial cell - gonad	endothelial cell - gonad
E-GEOD-27715	GSM686256	endothelial cell - gonad	endothelial cell - gonad
E-GEOD-27715	GSM686257	endothelial cell - gonad	endothelial cell - gonad
E-GEOD-27715	GSM686258	endothelial cell - gonad	endothelial cell - gonad
E-GEOD-27715	GSM686259	endothelial cell - gonad	endothelial cell - gonad
E-GEOD-27715	GSM686260	endothelial cell - gonad	endothelial cell - gonad
E-GEOD-27715	GSM686261	endothelial cell - gonad	endothelial cell - gonad
E-GEOD-15907	GSM777032	endothelial cell - blood vessel	endothelial cell - blood vessel
E-GEOD-15907	GSM777033	endothelial cell - blood vessel	endothelial cell - blood vessel
E-GEOD-15907	GSM777034	endothelial cell - blood vessel	endothelial cell - blood vessel
E-GEOD-15907	GSM777035	endothelial cell - blood vessel	endothelial cell - blood vessel
E-GEOD-15907	GSM777036	endothelial cell - blood vessel	endothelial cell - blood vessel
E-GEOD-15907	GSM777037	endothelial cell - blood vessel	endothelial cell - blood vessel
E-GEOD-15907	GSM777038	endothelial cell - blood vessel	endothelial cell - blood vessel
E-GEOD-15907	GSM777039	endothelial cell - blood vessel	endothelial cell - blood vessel
E-GEOD-15907	GSM777040	endothelial cell - blood vessel	endothelial cell - blood vessel
E-GEOD-15907	GSM777059	endothelial cell - lymphatic vessel	endothelial cell - lymphatic vessel
E-GEOD-15907	GSM777060	endothelial cell - lymphatic vessel	endothelial cell - lymphatic vessel
E-GEOD-15907	GSM777061	endothelial cell - lymphatic vessel	endothelial cell - lymphatic vessel
E-GEOD-15907	GSM777062	endothelial cell - lymphatic vessel	endothelial cell - lymphatic vessel
E-GEOD-15907	GSM777063	endothelial cell - lymphatic vessel	endothelial cell - lymphatic vessel
E-GEOD-15907	GSM777064	endothelial cell - lymphatic vessel	endothelial cell - lymphatic vessel
E-GEOD-15907	GSM777065	endothelial cell - lymphatic vessel	endothelial cell - lymphatic vessel
E-GEOD-15907	GSM777066	endothelial cell - lymphatic vessel	endothelial cell - lymphatic vessel
E-GEOD-39410	GSM967662	msc	msc
E-GEOD-39410	GSM967663	msc	msc
E-GEOD-30541	GSM757749	osteoblast	osteoblast
E-GEOD-32498	GSM804417	keratinocyte	keratinocyte
E-GEOD-32498	GSM804418	keratinocyte	keratinocyte
E-GEOD-32498	GSM804419	keratinocyte	keratinocyte
E-GEOD-23547	GSM577694	mef	mef
E-GEOD-23547	GSM577695	mef	mef
E-GEOD-23547	GSM577696	mef	mef
E-GEOD-24861	GSM611391	mef	mef
E-GEOD-24861	GSM611392	mef	mef
E-GEOD-25816	GSM634287	mef	mef
E-GEOD-25816	GSM634288	mef	mef
E-GEOD-26624	GSM655342	mef	mef
E-GEOD-26624	GSM655343	mef	mef
E-GEOD-26624	GSM655344	mef	mef
E-GEOD-27814	GSM686803	mef	mef
E-GEOD-27814	GSM686804	mef	mef
E-GEOD-27814	GSM686805	mef	mef
E-MEXP-1785	MFWT2	mef	mef
E-MEXP-1785	MFWT3	mef	mef
E-GEOD-14412	GSM360115	fibroblast - cardiac	cardiac fibroblast
E-GEOD-14412	GSM360116	fibroblast - cardiac	cardiac fibroblast
E-GEOD-14412	GSM360118	fibroblast - cardiac	cardiac fibroblast
E-GEOD-15907	GSM777046	fibroblast - skin	fibroblast - skin
E-GEOD-15907	GSM777047	fibroblast - skin	fibroblast - skin
E-GEOD-15907	GSM777048	fibroblast - skin	fibroblast - skin
E-GEOD-15907	GSM777049	fibroblast - skin	fibroblast - skin
E-GEOD-15907	GSM777043	fibroblast - thymus	fibroblast - thymus
E-GEOD-15907	GSM777044	fibroblast - thymus	fibroblast - thymus
E-GEOD-15907	GSM777045	fibroblast - thymus	fibroblast - thymus
E-GEOD-24904	GSM610848	myoblast	myoblast
E-GEOD-24904	GSM610849	myoblast	myoblast
E-GEOD-24904	GSM610850	myoblast	myoblast
E-GEOD-32266	GSM799450	myoblast	myoblast
E-GEOD-32266	GSM799451	myoblast	myoblast
E-GEOD-32266	GSM799452	myoblast	myoblast
E-GEOD-24940	GSM613012	skeletal muscle	skeletal muscle
E-GEOD-24940	GSM613013	skeletal muscle	skeletal muscle
E-GEOD-24940	GSM613014	skeletal muscle	skeletal muscle
E-GEOD-25306	GSM645162	skeletal muscle	skeletal muscle
E-GEOD-25306	GSM645163	skeletal muscle	skeletal muscle
E-GEOD-25306	GSM645164	skeletal muscle	skeletal muscle
E-GEOD-25306	GSM645165	skeletal muscle	skeletal muscle
E-GEOD-25306	GSM645166	skeletal muscle	skeletal muscle
E-GEOD-29343	GSM725364	skeletal muscle	skeletal muscle
E-GEOD-29343	GSM725365	skeletal muscle	skeletal muscle
E-GEOD-29343	GSM725366	skeletal muscle	skeletal muscle
E-GEOD-29343	GSM725367	skeletal muscle	skeletal muscle
E-GEOD-40469	GSM994712	skeletal muscle	skeletal muscle
E-GEOD-40469	GSM994713	skeletal muscle	skeletal muscle
E-GEOD-40469	GSM994714	skeletal muscle	skeletal muscle
E-GEOD-40469	GSM994715	skeletal muscle	skeletal muscle
E-GEOD-40469	GSM994716	skeletal muscle	skeletal muscle
E-GEOD-40469	GSM994717	skeletal muscle	skeletal muscle
E-GEOD-40469	GSM994718	skeletal muscle	skeletal muscle
E-GEOD-40469	GSM994719	skeletal muscle	skeletal muscle
E-GEOD-40469	GSM994720	skeletal muscle	skeletal muscle
E-GEOD-40469	GSM994721	skeletal muscle	skeletal muscle
E-MEXP-2201	WT1SM	skeletal muscle	skeletal muscle
E-MEXP-2201	WT2SM	skeletal muscle	skeletal muscle
E-MEXP-2201	WT3SM	skeletal muscle	skeletal muscle
E-MEXP-2201	WT4SM	skeletal muscle	skeletal muscle
E-GEOD-12420	GSM312005	cardiomyocyte	cardiomyocyte
E-GEOD-12420	GSM312006	cardiomyocyte	cardiomyocyte
E-GEOD-12420	GSM312007	cardiomyocyte	cardiomyocyte
E-GEOD-12420	GSM312008	cardiomyocyte	cardiomyocyte
E-GEOD-12420	GSM312009	cardiomyocyte	cardiomyocyte
E-GEOD-12420	GSM312010	cardiomyocyte	cardiomyocyte
E-GEOD-12420	GSM312011	cardiomyocyte	cardiomyocyte
E-GEOD-12420	GSM312012	cardiomyocyte	cardiomyocyte
E-GEOD-19344	GSM480437	cardiomyocyte	cardiomyocyte
E-GEOD-19344	GSM480438	cardiomyocyte	cardiomyocyte
E-GEOD-19344	GSM480439	cardiomyocyte	cardiomyocyte
E-GEOD-19344	GSM480440	cardiomyocyte	cardiomyocyte
E-GEOD-19344	GSM480441	cardiomyocyte	cardiomyocyte
E-GEOD-19344	GSM480442	cardiomyocyte	cardiomyocyte
E-GEOD-30076	GSM744482	cardiomyocyte	cardiomyocyte
E-GEOD-30076	GSM744483	cardiomyocyte	cardiomyocyte
E-GEOD-30076	GSM744484	cardiomyocyte	cardiomyocyte
E-GEOD-30076	GSM744485	cardiomyocyte	cardiomyocyte
E-GEOD-30076	GSM744486	cardiomyocyte	cardiomyocyte
E-GEOD-41768	GSM1023873	mammary gland - lactating	mammary gland - lactating
E-GEOD-41768	GSM1023874	mammary gland - lactating	mammary gland - lactating
E-GEOD-41768	GSM1023875	mammary gland - lactating	mammary gland - lactating
E-GEOD-41768	GSM1023876	mammary gland - lactating	mammary gland - lactating
E-GEOD-41768	GSM1023881	mammary gland - lactating	mammary gland - lactating
E-GEOD-41768	GSM1023882	mammary gland - lactating	mammary gland - lactating
E-GEOD-41768	GSM1023883	mammary gland - lactating	mammary gland - lactating
E-GEOD-41768	GSM1023887	mammary gland - lactating	mammary gland - lactating
E-GEOD-41768	GSM1023888	mammary gland - lactating	mammary gland - lactating
E-GEOD-41768	GSM1023889	mammary gland - lactating	mammary gland - lactating
E-GEOD-41768	GSM1023890	mammary gland - lactating	mammary gland - lactating
E-GEOD-41768	GSM1023896	mammary gland - lactating	mammary gland - lactating
E-GEOD-41768	GSM1023897	mammary gland - lactating	mammary gland - lactating
E-GEOD-41768	GSM1023898	mammary gland - lactating	mammary gland - lactating
E-GEOD-41768	GSM1023902	mammary gland - lactating	mammary gland - lactating
E-GEOD-41768	GSM1023903	mammary gland - lactating	mammary gland - lactating
E-GEOD-41768	GSM1023904	mammary gland - lactating	mammary gland - lactating
E-GEOD-41768	GSM1023905	mammary gland - lactating	mammary gland - lactating
E-GEOD-27017	GSM665481	adipose - white	adipose - white
E-GEOD-27017	GSM665482	adipose - white	adipose - white
E-GEOD-27017	GSM665483	adipose - white	adipose - white
E-GEOD-27017	GSM665487	adipose - white	adipose - white
E-GEOD-27017	GSM665488	adipose - white	adipose - white
E-GEOD-27017	GSM665489	adipose - white	adipose - white
E-GEOD-27017	GSM665493	adipose - white	adipose - white
E-GEOD-27017	GSM665494	adipose - white	adipose - white
E-GEOD-27017	GSM665495	adipose - white	adipose - white
E-GEOD-27017	GSM665499	adipose - white	adipose - white
E-GEOD-27017	GSM665500	adipose - white	adipose - white
E-GEOD-27017	GSM665501	adipose - white	adipose - white
E-GEOD-27017	GSM665505	adipose - white	adipose - white
E-GEOD-27017	GSM665506	adipose - white	adipose - white
E-GEOD-27017	GSM665507	adipose - white	adipose - white
E-GEOD-28440	GSM703068	adipose - white	adipose - white
E-GEOD-28440	GSM703069	adipose - white	adipose - white
E-GEOD-28440	GSM703070	adipose - white	adipose - white
E-GEOD-28440	GSM703071	adipose - white	adipose - white
E-GEOD-28440	GSM703073	adipose - white	adipose - white
E-GEOD-28440	GSM703074	adipose - white	adipose - white
E-GEOD-28440	GSM703075	adipose - white	adipose - white
E-GEOD-28440	GSM703076	adipose - white	adipose - white
E-GEOD-28440	GSM703080	adipose - white	adipose - white
E-GEOD-28440	GSM703081	adipose - white	adipose - white
E-GEOD-28440	GSM703082	adipose - white	adipose - white
E-GEOD-28440	GSM703083	adipose - white	adipose - white
E-GEOD-28440	GSM703084	adipose - white	adipose - white
E-GEOD-28440	GSM703085	adipose - white	adipose - white
E-GEOD-28440	GSM703086	adipose - white	adipose - white
E-GEOD-28440	GSM703087	adipose - white	adipose - white
E-GEOD-28440	GSM703088	adipose - white	adipose - white
E-GEOD-37218	GSM913960	adipose - white	adipose - white
E-GEOD-37218	GSM913961	adipose - white	adipose - white
E-GEOD-37218	GSM913962	adipose - white	adipose - white
E-GEOD-37218	GSM913966	adipose - white	adipose - white
E-GEOD-37218	GSM913967	adipose - white	adipose - white
E-GEOD-37218	GSM913968	adipose - white	adipose - white
E-GEOD-38321	GSM938959	adipose - white	adipose - white
E-GEOD-38321	GSM938960	adipose - white	adipose - white
E-GEOD-38321	GSM938961	adipose - white	adipose - white
E-GEOD-38321	GSM938962	adipose - white	adipose - white
E-GEOD-38321	GSM938963	adipose - white	adipose - white
E-MEXP-2201	Hom2WAT	adipose - white	adipose - white
E-MEXP-1909	MSGp2WAT	adipose - white	adipose - white
E-MEXP-1909	STDp2WAT	adipose - white	adipose - white
E-MEXP-2201	WT1WAT	adipose - white	adipose - white
E-MEXP-2201	WT2WAT	adipose - white	adipose - white
E-MEXP-2201	WT3WAT	adipose - white	adipose - white
E-MEXP-2201	WT4WAT	adipose - white	adipose - white
E-GEOD-26442	GSM648790	adipose - brown	adipose - brown
E-GEOD-26442	GSM648791	adipose - brown	adipose - brown
E-GEOD-26442	GSM648792	adipose - brown	adipose - brown
E-GEOD-28440	GSM703065	adipose - brown	adipose - brown
E-GEOD-28440	GSM703066	adipose - brown	adipose - brown
E-GEOD-28440	GSM703067	adipose - brown	adipose - brown
E-GEOD-28440	GSM703077	adipose - brown	adipose - brown
E-GEOD-28440	GSM703078	adipose - brown	adipose - brown
E-GEOD-28440	GSM703079	adipose - brown	adipose - brown
E-GEOD-33210	GSM822234	bladder	bladder
E-GEOD-33210	GSM822235	bladder	bladder
E-GEOD-33210	GSM822236	bladder	bladder
E-GEOD-33210	GSM822237	bladder	bladder
E-GEOD-33210	GSM822238	bladder	bladder
E-GEOD-24940	GSM613018	kidney	kidney
E-GEOD-24940	GSM613019	kidney	kidney
E-GEOD-24940	GSM613020	kidney	kidney
E-GEOD-27366	GSM676401	kidney	kidney
E-GEOD-27366	GSM676402	kidney	kidney
E-GEOD-27366	GSM676403	kidney	kidney
E-GEOD-27366	GSM676404	kidney	kidney
E-GEOD-27366	GSM676405	kidney	kidney
E-GEOD-27366	GSM676406	kidney	kidney
E-GEOD-27366	GSM676407	kidney	kidney
E-GEOD-27366	GSM676408	kidney	kidney
E-GEOD-27366	GSM676409	kidney	kidney
E-GEOD-27366	GSM676410	kidney	kidney
E-GEOD-27366	GSM676411	kidney	kidney
E-GEOD-21060	GSM526561	liver	liver
E-GEOD-21060	GSM526562	liver	liver
E-GEOD-21060	GSM526602	liver	liver
E-GEOD-21965	GSM546233	liver	liver
E-GEOD-21965	GSM546234	liver	liver
E-GEOD-24940	GSM613021	liver	liver
E-GEOD-24940	GSM613022	liver	liver
E-GEOD-24940	GSM613023	liver	liver
E-GEOD-26188	GSM642852	liver	liver
